Bhk,Price,Location
2,30000,"My Home Avatar, Narsingi, Outer Ring Road"
1,8000,Charminar
3,20000,"SMR Vinay Harmony County, Appa junction"
3,36000,"Aditya Gardenia, Banjara Hills, NH"
3,30000,"Aditya Imperial Heights, Hafeezpet, NH"
1,15000,Kondapur
2,14000,Musheerabad
3,25000,Friends Colony
2,18000,khairatabad
2,15000,"Golden Heights Colony, Janachaitanya colony, Hyderabad Expressway"
2,13000,Chilakalguda
3,50000,"Habsiguda, NH"
2,8500,"B N Reddy Nagar, Nagarjuna Sagar Road"
3,16000,"Upparpally, Hyderabad Expressway"
2,12000,"Anandbagh, Secunderabad, Moula Ali Road"
1,7000,Langar Houz
3,25000,"LB Nagar, NH"
2,15000,"Langar Houz House South, Hyderabad Expressway"
4,23000,Toli Chowki
3,37000,"My Home Vihanga, Gachibowli, Outer Ring Road"
1,15000,"Mythri Nagar, Hafeezpet, NH"
3,26000,"Hill County Township, Bachupally, Outer Ring Road"
3,24000,"TNR Sulakshna, LB Nagar, NH"
3,17000,"Manasa Vensa Ashraya, Saroornagar, NH"
3,30000,"Aditya Imperial Heights, Hafeezpet, NH"
4,50000,"Ashoka Liviano, P Janardhan Reddy Nagar, Gachibowli, Outer Ring Road"
3,26000,"East Oak Luxury Apartments, Pocharam, NH"
3,35000,"Aditya Imperial Heights, Hafeezpet, NH"
2,8500,"LIG Apartments, Kukatpally, NH"
3,40000,Narayanguda
2,15000,"Devi Bagh, Bahadurpura"
3,23000,"Tellapur, Outer Ring Road"
2,21000,"Sriramnagar,Kothaguda"
3,28000,"Vazhraa Nirmaan Pushpak, Nizampet"
2,25000,P&T Colony
3,30000,"Honer Vivantis, Nallagandla"
3,15000,Sri Mahalakshmi Residency
3,40000,Attapur
3,28000,West Marredpally
2,11500,Almasguda
3,15000,"Sun City, Bandlaguda, Chevella Road"
3,50000,"Whistling Woods, Kokapet, Outer Ring Road"
2,25000,Toli Chowki
2,30500,"Khaja Guda, Outer Ring Road"
3,25000,"RV Kaustubha, Kompally"
3,40000,"Aparna Serene Park, Kondapur"
2,8000,"Bachupally, Outer Ring Road"
3,40000,Vajras Jasmine County
3,22000,"Advocates Colony, Himayath Nagar"
2,28000,Police Colony-Kondapur
3,27000,"Hyder Nagar, NH"
3,15000,Gajularamaramm
3,16000,Madeenaguda
2,20000,"Madinaguda, Hafeezpet, NH"
2,30000,"P Janardhan Reddy Nagar, Gachibowli, Outer Ring Road"
2,28000,"Alkapur Township, Manikonda, Outer Ring Road"
3,23000,"SMR Sowmya, West Marredpally"
2,26000,Toli Chowki
3,15000,"Bommarillu Homes, Madhura Nagar, Nizampet"
3,17500,"Sapthagiri Enclave, Bachupally, Outer Ring Road"
3,24000,"Malaysian Township, Kukatpally, NH"
2,30000,"Narsingi, Outer Ring Road"
4,38000,Begumpet
2,30000,"My Home Avatar, Narsingi, Outer Ring Road"
3,15000,Sivaji Nagar-Chandanagar
2,30000,"Lakdikapul, NH"
2,9000,"Uppal, NH"
3,25000,"Dundoo Classic Tower, Boiguda"
3,15000,"Jai Jawahar Nagar, Secunderabad"
2,12000,Ashgoli
2,12000,Adibatla
1,25000,Kondapur
3,18000,Toli Chowki
2,16000,"Hafeezpet, NH"
3,19500,"Mayflower Heights, Mallapur"
3,9500,"Bandlaguda, Nagole, Srisailam Highway"
2,14000,"Gangaram, Chandanagar, NH"
3,42000,"Vajras Jasmine County, Gachibowli, Outer Ring Road"
