Column1,Bhk,Furnishing,Tennants,Area,Price,Locality
124,2,Semi-Furnished,Bachelors,1150 sqft,16000,"Gandhi Nagar, Kavadiguda, NH"
125,2,Unfurnished,Bachelors/Family,1250 sqft,10500,"Beeramguda, Ramachandra Puram, NH"
126,3,Furnished,Bachelors/Family,2200 sqft,40000,Gachibowli Phase
127,2,Furnished,Bachelors/Family,1120 sqft,19000,"Basheer Bagh, NH"
128,3,Semi-Furnished,Family,1608 sqft,20000,"Manchirevula, Outer Ring Road"
129,3,Furnished,Bachelors/Family,2000 sqft,20000,Osman Nagar
130,2,Semi-Furnished,Family,1200 sqft,26000,"Ameerpet, NH"
131,2,Unfurnished,Bachelors,1000 sqft,20000,Bandari Layout
132,2,Unfurnished,Bachelors/Family,1100 sqft,18500,"Al Hasnath Colony, Toli Chowki"
133,2,Unfurnished,Bachelors,950 sqft,35000,Shaikpet
134,3,Semi-Furnished,Bachelors/Family,1900 sqft,40000,"NCL Sindhu, Dandamudi Enclave, Jeedimetla"
135,3,Furnished,Family,2045 sqft,30000,Shaikpet
136,3,Furnished,Bachelors/Family,1800 sqft,40000,"Nallagandla, Serilingampally"
137,3,Semi-Furnished,Family,1368 sqft,21000,Gajularamaramm
138,1,Unfurnished,Bachelors/Family,read more,18000,Gowlidoddi
139,3,Semi-Furnished,Bachelors/Family,1500 sqft,32500,"Kukatpally Housing Board Colony, NH"
140,3,Semi-Furnished,Bachelors,1450 sqft,32000,"Kavuri Hills, Madhapur"
141,3,Furnished,Bachelors/Family,2347 sqft,45000,"SMR Vinay Iconia, Kondapur"
142,3,Semi-Furnished,Bachelors/Family,2800 sqft,45000,"Trendset Winz, Gachibowli, Outer Ring Road"
143,3,Semi-Furnished,Family,1650 sqft,40000,"Gachibowli, Outer Ring Road"
144,3,Unfurnished,Bachelors,1865 sqft,31500,"Indu Fortune Fields apartments, Hitech City City"
145,3,Semi-Furnished,Bachelors/Family,2200 sqft,24000,"Old Malakpet, NH"
146,3,Semi-Furnished,Family,3000 sqft,45000,"Hafeezpet, NH"
147,2,Semi-Furnished,Bachelors,1000 sqft,13000,"Temple Alwal, Secunderabad, Siddipet Road"
148,2,Unfurnished,Bachelors,1300 sqft,20000,"Punjagutta, NH"
149,2,Furnished,Family,1300 sqft,18000,"Samatha Nagar, Kukatpally, NH"
150,3,Furnished,Family,1375 sqft,45000,"Lanco Hills, Manikonda, Outer Ring Road"
151,3,Semi-Furnished,Bachelors/Family,1800 sqft,20000,"Narsingi, Outer Ring Road"
152,3,Semi-Furnished,Bachelors,2000 sqft,36000,"Domalguda, Himayath Nagar, NH"
153,3,Semi-Furnished,Family,1600 sqft,22000,"NCL Ganga, Kompally"
154,3,Semi-Furnished,Bachelors/Family,2100 sqft,23000,"Pragathi Nagar, Ramanthapur, NH"
155,3,Semi-Furnished,Family,1789 sqft,15500,"Saket, Secunderabad"
156,3,Unfurnished,Family,1450 sqft,12000,Sainikpuri
157,4,Semi-Furnished,Bachelors,3380 sqft,45000,"NCC Urban One, Narsingi, Outer Ring Road"
158,3,Semi-Furnished,Bachelors/Family,2000 sqft,35000,"Lakdikapul, NH"
159,2,Unfurnished,Bachelors,1100 sqft,15000,Vidya Nagar
160,3,Semi-Furnished,Bachelors/Family,1690 sqft,32000,"Aparna Hillpark Gardenia, Chandanagar, NH"
161,3,Semi-Furnished,Bachelors/Family,1750 sqft,22000,"Kalyan Puri, Secunderabad"
162,2,Furnished,Bachelors,1050 sqft,27000,Nehru Nagar-West Marredpally
163,2,Unfurnished,Bachelors/Family,800 sqft,10000,Sangareddy District
164,2,Furnished,Bachelors,1070 sqft,22000,"Samata Colony, Toli Chowki"
165,3,Semi-Furnished,Family,1252 sqft,12000,Dammaiguda
166,3,Semi-Furnished,Bachelors,1150 sqft,16000,"Tilak Nagar, New Nallakunta, NH"
167,3,Semi-Furnished,Bachelors/Family,2400 sqft,22000,"Tellapur, Outer Ring Road"
168,3,Furnished,Bachelors/Family,1590 sqft,39000,"Aditya Imperial Heights, Hafeezpet, NH"
169,3,Unfurnished,Bachelors/Family,1700 sqft,18000,Karwan sahu
170,3,Furnished,Family,1550 sqft,50000,New Mallepally
171,2,Unfurnished,Bachelors,1314 sqft,33000,"My Home Avatar, Narsingi, Outer Ring Road"
172,3,Semi-Furnished,Family,1000 sqft,18500,Mayur Marg
173,3,Furnished,Bachelors/Family,1950 sqft,48000,Nanakram Guda
174,4,Semi-Furnished,Bachelors/Family,4000 sqft,25000,"Saptagiri Colony, Kukatpally, NH"
175,2,Furnished,Bachelors/Family,read more,15000,Sangareddy
176,2,Semi-Furnished,Bachelors/Family,1000 sqft,14000,"Dilsukhnagar, NH"
177,3,Unfurnished,Bachelors/Family,1630 sqft,20000,"Alkapuri, LB Nagar, NH"
178,2,Furnished,Bachelors/Family,1050 sqft,27000,Madhapur
179,2,Semi-Furnished,Bachelors/Family,915 sqft,15000,"Vidyanagar, Adikmet"
180,2,Semi-Furnished,Bachelors/Family,1200 sqft,14000,"Champapet, Koti"
181,3,Semi-Furnished,Bachelors/Family,1144 sqft,16500,"Nirmala Ratna Apartment, Gangaram, Chandanagar, NH"
182,3,Semi-Furnished,Family,1660 sqft,29000,"Moti Nagar-Erragadda, NH"
183,3,Furnished,Bachelors/Family,1198 sqft,40000,"Mantri Celestia, Gachibowli, Outer Ring Road"
184,2,Semi-Furnished,Bachelors/Family,1200 sqft,17500,Masab Tank
185,3,Semi-Furnished,Family,1655 sqft,16000,"Hyder Nagar, NH"
186,3,Semi-Furnished,Bachelors,2000 sqft,30000,"Khaja Guda, Outer Ring Road"
187,3,Semi-Furnished,Family,2003 sqft,25000,"Pearl Celestial, Kokapet, Outer Ring Road"
188,3,Semi-Furnished,Bachelors,1600 sqft,24000,"Vertex Pleasant, Kukatpally, NH"
189,3,Semi-Furnished,Bachelors/Family,2500 sqft,35000,"Banjara Hills, NH"
190,3,Semi-Furnished,Bachelors/Family,2000 sqft,40000,"Kavuri Hills, Madhapur"
191,1,Semi-Furnished,Bachelors,read more,42000,Aparna Serene Park
192,3,Furnished,Bachelors/Family,1570 sqft,22000,"Daisy Classic, Kukatpally, NH"
193,2,Semi-Furnished,Bachelors/Family,1380 sqft,23000,"SMR Vinay Harmony County, Appa junction"
194,5,Semi-Furnished,Bachelors/Family,4000 sqft,40000,"My Nest Mahati, Kondapur"
195,3,Semi-Furnished,Family,1800 sqft,27000,"De Lite Power Welfare Society, Narsingi, Outer Ring Road"
196,2,Unfurnished,Bachelors/Family,1095 sqft,12500,Gajularamaramm
197,2,Unfurnished,Bachelors,150 sqyrd,12500,"Sun City, Bandlaguda, Chevella Road"
198,2,Unfurnished,Bachelors/Family,1000 sqft,12000,Gudimalkapur
199,3,Furnished,Family,1260 sqft,18000,Tarnaka
200,3,Bachelors/Family,3,1800 sqft,25000,Appa junction
201,3,Furnished,Bachelors,1610 sqft,25000,Raghuram A
202,3,Unfurnished,Bachelors,1495 sqft,23000,"SMR Vinay City, Miyapur, NH"
203,3,Unfurnished,Bachelors/Family,1300 sqft,16000,Nizampet
204,3,Semi-Furnished,Family,2600 sqft,38000,"Yousufguda, NH"
205,3,Semi-Furnished,Bachelors/Family,1265 sqft,18500,"Chandanagar, NH"
206,3,Unfurnished,Bachelors,2285 sqft,50000,"Lumbini Avenue, Gachibowli, Outer Ring Road"
207,3,Furnished,Family,1425 sqft,22000,"Kokapet, Outer Ring Road"
208,3,Semi-Furnished,Bachelors,2200 sqft,31000,Kothaguda
209,3,Semi-Furnished,Bachelors/Family,1840 sqft,38000,"Gachibowli, Outer Ring Road"
210,3,Bachelors/Family,3,1525 sqft,25000,"Hafeezpet, NH"
211,1,Semi-Furnished,Bachelors,read more,10000,"Kukatpally Housing Board Colony, NH"
212,2,Semi-Furnished,Bachelors/Family,1250 sqft,16500,Attapur
213,1,Semi-Furnished,Bachelors/Family,"Near Kiran international school Boduppal, Near Ganesh temple and Park",13000,Lakshmi Nagar Colony-Hanuman Nagar Colony
214,1,Furnished,Bachelors,East Facing Property,25000,Gachibowli
215,3,Furnished,Bachelors/Family,2259 sqft,50000,"Lodha Meridian, K P H B Phase"
216,2,Furnished,Bachelors/Family,1365 sqft,36000,"Magnam Opus, Gachibowli, Outer Ring Road"
217,2,Semi-Furnished,Family,1314 sqft,30000,"My Home Avatar, Narsingi, Outer Ring Road"
218,3,Semi-Furnished,Family,1925 sqft,32000,"SMR Vinay Fountainhead, Hyderabad"
219,2,Semi-Furnished,Family,800 sqft,10000,"Bagh Amberpet, Amberpet, NH"
220,2,Semi-Furnished,Bachelors/Family,1400 sqft,16000,Attapur
221,3,Unfurnished,Bachelors/Family,1600 sqft,19000,"Aakriti Honey dew, Tellapur, Outer Ring Road"
222,3,Semi-Furnished,Family,1500 sqft,17500,"Kukatpally, NH"
223,3,Semi-Furnished,Bachelors/Family,1800 sqft,20000,"Hill County Township, Bachupally, Outer Ring Road"
224,2,Unfurnished,Bachelors/Family,810 sqft,13000,Serilingampally
225,2,Semi-Furnished,Family,1450 sqft,26000,"Project Golden Habitat, Madhapur"
226,3,Semi-Furnished,Family,2192 sqft,40000,"Western Exotica Project , Kothaguda"
227,3,Semi-Furnished,Bachelors/Family,1800 sqft,26000,"Aditya Imperial Heights, Hafeezpet, NH"
228,3,Furnished,Bachelors/Family,1400 sqft,18000,Haripuri colony
229,2,Unfurnished,Bachelors,768 sqft,15000,"Manikonda, Outer Ring Road"
230,3,Semi-Furnished,Bachelors/Family,1700 sqft,15000,Aminpur
231,4,Semi-Furnished,Bachelors/Family,2800 sqft,50000,"Banjara Hills, NH"
232,3,Semi-Furnished,Bachelors,1740 sqft,18000,"APSEB Colony, Hastinapuram"
233,3,Semi-Furnished,Family,1575 sqft,18000,"Silver Spring, Narsingi, Outer Ring Road"
234,2,Unfurnished,Bachelors/Family,1250 sqft,10000,"Bachupally, Outer Ring Road"
235,2,Semi-Furnished,Bachelors,1100 sqft,13000,Attapur
236,2,Unfurnished,Bachelors,1800 sqft,25000,"Bhavyas Akhila Exotica, Kukatpally, NH"
237,3,Semi-Furnished,Bachelors/Family,1700 sqft,15000,"Sri Mahalakshmi Residency, Attapur"
238,2,Semi-Furnished,Bachelors/Family,850 sqft,18000,"Lakdikapul, NH"
239,3,Semi-Furnished,Bachelors/Family,1650 sqft,24000,"Sri Nainas Sunrise, Manikonda, Outer Ring Road"
240,2,Unfurnished,Bachelors/Family,1200 sqft,17000,Balkampet
241,2,Semi-Furnished,Bachelors/Family,1000 sqft,16500,Puppalaguda
242,3,Semi-Furnished,Bachelors/Family,2192 sqft,45000,"Western Exotica Project , Kothaguda"
243,3,Semi-Furnished,Bachelors/Family,1525 sqft,23000,"APGOs Coop HSG Society, Hafeezpet"
244,2,Semi-Furnished,Bachelors/Family,1150 sqft,14000,Toli Chowki
245,3,Semi-Furnished,Bachelors,1775 sqft,23000,Hyderaguda-Attapur
246,3,Unfurnished,Bachelors,1490 sqft,25000,"Infocity Excellence and Elegance, Nallagandla, Serilingampally"
247,3,Semi-Furnished,Bachelors,1450 sqft,25000,Mehdipatnam
248,3,Semi-Furnished,Bachelors,1200 sqft,15000,"Aparna Kanopy Tulip, Kompally"
249,3,Semi-Furnished,Bachelors/Family,1870 sqft,35000,"Sumukhi Orbit, Madhapur"
250,3,Semi-Furnished,Family,1756 sqft,34000,"Project Hill Ridge Springs, Gachibowli, Outer Ring Road"
251,3,Unfurnished,Bachelors,1500 sqft,26000,"Gayatri Hills, Jubilee Hills"
252,3,Furnished,Bachelors/Family,1360 sqft,15000,"Emerald Heights, Nizampet"
253,2,Unfurnished,Bachelors/Family,1160 sqft,16000,"New Dilshukh Nagar, NH"
254,3,Unfurnished,Family,1450 sqft,14000,Maruthi Nagar
255,2,Unfurnished,Bachelors,950 sqft,10000,"Hayathnagar, NH"
256,3,Semi-Furnished,Family,2200 sqft,35000,Kondapur
257,2,Unfurnished,Bachelors/Family,670 sqft,10500,"Quthbullapur, NH"
258,4,Furnished,Family,3000 sqft,36000,Puppalaguda
259,2,Semi-Furnished,Bachelors/Family,1200 sqft,18000,Puppalaguda
260,3,Semi-Furnished,Bachelors/Family,1933 sqft,18000,"Modi Splendour, Kukatpally, NH"
261,3,Bachelors/Family,3,2200 sqft,26000,Attapur
262,3,Semi-Furnished,Family,1933 sqft,18000,"Modi Splendour, Kukatpally, NH"
263,2,Unfurnished,Family,900 sqft,10200,"Quthbullapur, NH"
264,2,Unfurnished,Bachelors/Family,900 sqft,14500,Borabanda
265,3,Semi-Furnished,Bachelors/Family,1650 sqft,18000,"Miyapur, NH"
266,3,Semi-Furnished,Family,1850 sqft,23000,"Manikonda, Outer Ring Road"
267,3,Semi-Furnished,Family,1650 sqft,36000,"Ashoka Liviano, Gachibowli, Outer Ring Road"
268,4,Unfurnished,Bachelors,2000 sqft,25000,"Al Hasnath Colony, Toli Chowki"
269,2,Semi-Furnished,Bachelors/Family,100 sqyrd,9000,Narapally
270,3,Semi-Furnished,Family,1690 sqft,45000,"Gachibowli, Outer Ring Road"
271,2,Semi-Furnished,Bachelors/Family,1100 sqft,13000,"New Bowenpally, NH"
272,3,Semi-Furnished,Bachelors/Family,1850 sqft,30000,Shaikpet
273,3,Semi-Furnished,Bachelors/Family,1925 sqft,25000,"Hafeezpet, NH"
